Title,Rating,Budget,Genre,Lifetime_Revenue
Dear John,6.3,25000000.0,"Drama, Romance, War","$80,014,842"
Valentine's Day,5.7,52000000.0,"Comedy, Romance","$110,528,528"
Shutter Island,8.2,80000000.0,"Drama, Mystery, Thriller","$128,012,934"
Alice in Wonderland,6.4,200000000.0,"Adventure, Family, Fantasy","$334,191,110"
How to Train Your Dragon,8.1,165000000.0,"Animation, Action, Adventure","$217,581,231"
Clash of the Titans,5.8,125000000.0,"Action, Adventure, Fantasy","$163,214,888"
Kick-Ass,7.6,30000000.0,"Action, Comedy, Crime","$48,071,303"
A Nightmare on Elm Street,5.2,35000000.0,"Crime, Drama, Horror","$63,075,011"
Iron Man 2,6.9,200000000.0,"Action, Sci-Fi","$312,433,331"
Shrek Forever After,6.3,165000000.0,"Animation, Adventure, Comedy","$238,736,787"
The Karate Kid,6.2,40000000.0,"Action, Drama, Family","$176,591,618"
Toy Story 3,8.3,200000000.0,"Animation, Adventure, Comedy","$415,004,880"
The Twilight Saga: Eclipse,5.1,68000000.0,"Action, Adventure, Drama","$300,531,751"
Despicable Me,7.6,69000000.0,"Animation, Adventure, Comedy","$251,683,815"
Inception,8.8,160000000.0,"Action, Adventure, Sci-Fi","$292,587,330"
The Other Guys,6.6,100000000.0,"Action, Comedy, Crime","$119,219,978"
The Expendables,6.4,80000000.0,"Action, Adventure, Thriller","$103,068,524"
Takers,6.2,32000000.0,"Action, Crime, Drama","$57,744,720"
The American,6.3,20000000.0,"Action, Crime, Drama","$35,606,376"
Resident Evil: Afterlife,5.8,60000000.0,"Action, Horror, Sci-Fi","$60,128,566"
The Town,7.5,37000000.0,"Crime, Drama, Thriller","$92,186,262"
Wall Street: Money Never Sleeps,6.2,70000000.0,Drama,"$52,474,616"
The Social Network,7.8,40000000.0,"Biography, Drama","$96,962,694"
Jackass 3D,7.0,20000000.0,"Documentary, Action, Comedy","$117,229,692"
Paranormal Activity 2,5.7,3000000.0,"Horror, Mystery","$84,752,907"
Saw: The Final Chapter,,20000000.0,,
Megamind,7.3,130000000.0,"Animation, Action, Adventure","$148,415,853"
Harry Potter and the Deathly Hallows: Part 1,7.7,125000000.0,"Adventure, Family, Fantasy","$296,374,621"
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,155000000.0,"Adventure, Family, Fantasy","$104,386,950"
TRON: Legacy,6.8,170000000.0,"Action, Adventure, Sci-Fi","$172,062,763"
Little Fockers,5.5,100000000.0,"Comedy, Romance","$148,438,600"
The Green Hornet,5.8,120000000.0,"Action, Comedy, Crime","$98,780,042"
No Strings Attached,6.2,25000000.0,"Comedy, Romance","$70,662,220"
The Rite,6.0,37000000.0,"Drama, Horror, Mystery","$33,047,633"
The Roommate,4.8,16000000.0,"Drama, Horror, Thriller","$37,300,000"
Just Go with It,6.4,80000000.0,"Comedy, Romance","$103,028,109"
Unknown,6.8,30000000.0,"Action, Mystery, Thriller","$63,686,397"
Hall Pass,5.9,36000000.0,"Comedy, Romance","$45,060,734"
Rango,7.3,135000000.0,"Animation, Action, Adventure","$123,477,607"
Battle Los Angeles,5.7,70000000.0,"Action, Adventure, Sci-Fi","$83,552,429"
Limitless,7.4,27000000.0,"Sci-Fi, Thriller","$79,249,455"
Diary of a Wimpy Kid: Rodrick Rules,6.6,21000000.0,"Comedy, Family","$52,698,535"
Hop,5.4,63000000.0,"Animation, Adventure, Comedy","$108,498,305"
Rio,6.9,90000000.0,"Animation, Adventure, Comedy","$143,619,809"
Fast Five,7.3,125000000.0,"Action, Crime, Thriller","$209,837,675"
Thor,7.0,150000000.0,"Action, Fantasy","$181,030,624"
Pirates of the Caribbean: On Stranger Tides,6.6,250000000.0,"Action, Adventure, Fantasy","$241,071,802"
The Hangover Part II,6.5,80000000.0,Comedy,"$254,464,305"
X-Men: First Class,7.7,160000000.0,"Action, Sci-Fi","$146,408,305"
Super 8,7.0,50000000.0,"Action, Mystery, Sci-Fi","$127,004,179"
Green Lantern,5.5,200000000.0,"Action, Adventure, Sci-Fi","$116,601,172"
Cars 2,6.2,200000000.0,"Animation, Adventure, Comedy","$191,452,396"
Transformers: Dark of the Moon,6.2,195000000.0,"Action, Adventure, Sci-Fi","$352,390,543"
Harry Potter and the Deathly Hallows: Part 2,8.1,125000000.0,"Adventure, Family, Fantasy","$381,447,587"
Captain America: The First Avenger,6.9,140000000.0,"Action, Adventure, Sci-Fi","$176,654,505"
Cowboys & Aliens,6.0,163000000.0,"Action, Drama, Sci-Fi","$100,240,551"
Rise of the Planet of the Apes,7.6,93000000.0,"Action, Drama, Sci-Fi","$176,760,185"
Contagion,6.8,60000000.0,"Drama, Thriller","$75,658,097"
Dolphin Tale,6.8,37000000.0,"Drama, Family","$72,286,779"
Real Steel,7.1,110000000.0,"Action, Drama, Sci-Fi","$85,468,508"
Paranormal Activity 3,5.8,5000000.0,"Horror, Mystery, Thriller","$104,028,807"
Puss in Boots,6.6,130000000.0,"Animation, Action, Adventure","$149,260,504"
Immortals,6.0,75000000.0,"Action, Drama, Fantasy","$83,504,017"
The Twilight Saga: Breaking Dawn - Part 1,4.9,110000000.0,"Adventure, Drama, Fantasy","$281,287,133"
New Year's Eve,5.6,56000000.0,"Comedy, Romance","$54,544,638"
Sherlock Holmes: A Game of Shadows,7.4,125000000.0,"Action, Adventure, Mystery","$186,848,418"
Mission: Impossible - Ghost Protocol,7.4,145000000.0,"Action, Adventure, Thriller","$209,397,903"
The Devil Inside,4.2,1000000.0,Horror,"$53,261,944"
Contraband,6.4,25000000.0,"Action, Adventure, Crime","$66,528,000"
Underworld: Awakening,6.3,70000000.0,"Action, Fantasy, Thriller","$62,321,039"
The Grey,6.7,25000000.0,"Short, Comedy, Crime, Drama",N/A
Chronicle,7.0,12000000.0,"Action, Drama, Sci-Fi","$64,575,175"
The Vow,6.8,30000000.0,"Drama, Romance","$125,014,030"
Act of Valor,6.4,12000000.0,"Action, Adventure, Thriller","$70,012,847"
The Lorax,6.4,70000000.0,"Animation, Adventure, Comedy","$214,494,550"
21 Jump Street,7.2,42000000.0,"Action, Comedy, Crime","$138,447,667"
The Hunger Games,7.2,78000000.0,"Action, Adventure, Sci-Fi","$408,010,692"
Think Like a Man,6.5,12000000.0,"Comedy, Romance","$91,547,205"
The Avengers,8.0,220000000.0,"Action, Sci-Fi","$623,357,910"
Men in Black 3,7.9,225000000.0,"Documentary, News",N/A
Snow White and the Huntsman,6.1,170000000.0,"Action, Adventure, Drama","$155,332,381"
Madagascar 3: Europe's Most Wanted,6.8,145000000.0,"Animation, Adventure, Comedy","$216,391,482"
Brave,7.1,185000000.0,"Animation, Action, Adventure","$237,283,207"
Ted,6.9,50000000.0,Comedy,"$218,815,487"
The Amazing Spider-Man,6.9,230000000.0,"Action, Adventure, Sci-Fi","$262,782,352"
Ice Age: Continental Drift,6.5,95000000.0,"Animation, Adventure, Comedy","$161,321,843"
The Dark Knight Rises,8.4,250000000.0,"Action, Drama, Thriller","$448,149,584"
The Bourne Legacy,6.6,125000000.0,"Action, Adventure, Thriller","$113,203,870"
The Expendables 2,6.6,100000000.0,"Action, Adventure, Thriller","$85,028,192"
The Possession,5.9,14000000.0,"Horror, Mystery, Thriller","$49,130,154"
Resident Evil: Retribution,5.3,65000000.0,"Action, Horror, Sci-Fi","$42,345,531"
End of Watch,7.6,7000000.0,"Action, Crime, Drama","$41,003,371"
Hotel Transylvania,7.0,85000000.0,"Animation, Adventure, Comedy","$148,313,048"
Taken 2,6.2,45000000.0,"Action, Crime, Thriller","$139,854,287"
Paranormal Activity 4,4.6,5000000.0,"Horror, Mystery","$53,885,000"
Wreck-It Ralph,7.7,165000000.0,"Animation, Adventure, Comedy","$189,422,889"
Skyfall,7.8,200000000.0,"Action, Adventure, Thriller","$304,360,277"
The Twilight Saga: Breaking Dawn - Part 2	,5.6,120000000.0,"Adventure, Drama, Fantasy","$292,324,737"
The Hobbit: An Unexpected Journey,7.8,180000000.0,"Adventure, Fantasy","$303,030,651"
The Texas Chainsaw Massacre  ,N/A,20000000.0,Short,N/A
Zero Dark Thirty,5.4,40000000.0,Short,N/A
Mama,6.2,15000000.0,"Fantasy, Horror, Thriller","$71,628,180"
Hansel & Gretel: Witch Hunters,6.1,50000000.0,"Action, Fantasy, Horror","$55,703,475"
Warm Bodies,6.8,35000000.0,"Comedy, Horror, Romance","$66,380,662"
Identity Thief,5.7,35000000.0,"Comedy, Crime, Drama","$134,506,920"
A Good Day to Die Hard,5.2,92000000.0,"Action, Thriller","$67,349,198"
Jack the Giant Slayer,6.3,195000000.0,"Action, Adventure, Fantasy","$65,187,603"
Oz the Great and Powerful,6.3,215000000.0,"Adventure, Family, Fantasy","$234,911,825"
The Croods,7.1,135000000.0,"Animation, Adventure, Comedy","$187,168,425"
G.I. Joe: Retaliation,5.7,130000000.0,"Action, Adventure, Sci-Fi","$122,523,060"
Evil Dead,6.5,17000000.0,Horror,"$54,239,856"
42,7.5,40000000.0,"Biography, Drama, Sport","$95,059,709"
Oblivion,7.0,120000000.0,"Action, Adventure, Sci-Fi","$89,107,235"
Pain & Gain,6.4,26000000.0,"Action, Biography, Comedy","$49,875,291"
Iron Man 3,7.1,200000000.0,"Action, Adventure, Sci-Fi","$409,013,994"
Star Trek Into Darkness,7.7,190000000.0,"Action, Adventure, Sci-Fi","$228,778,661"
Fast & Furious 6,7.0,160000000.0,"Action, Crime, Thriller","$238,679,850"
The Purge,5.7,3000000.0,"Horror, Sci-Fi, Thriller","$64,473,115"
Man of Steel,7.1,225000000.0,"Action, Adventure, Sci-Fi","$291,045,518"
Monsters University,7.2,200000000.0,"Animation, Adventure, Comedy","$268,492,764"
Despicable Me 2,7.3,76000000.0,"Animation, Adventure, Comedy","$368,065,385"
The Conjuring,7.5,20000000.0,"Horror, Mystery, Thriller","$137,446,368"
The Wolverine,6.7,120000000.0,"Action, Sci-Fi","$132,556,852"
2 Guns,6.7,61000000.0,"Action, Comedy, Thriller","$75,612,460"
Elysium,6.6,115000000.0,"Action, Drama, Sci-Fi","$93,050,117"
Lee Daniels' The Butler,N/A,30000000.0,Talk-Show,N/A
One Direction: This Is Us,4.3,10000000.0,"Documentary, Music","$28,873,374"
Riddick,6.4,38000000.0,"Action, Adventure, Sci-Fi","$42,025,135"
Insidious: Chapter 2,6.6,5000000.0,"Horror, Mystery, Thriller","$83,586,447"
Prisoners,8.2,46000000.0,"Crime, Drama, Mystery","$61,002,302"
Cloudy With a Chance of Meatballs 2,6.3,78000000.0,"Animation, Adventure, Comedy","$119,793,567"
Gravity,7.7,100000000.0,"Drama, Sci-Fi, Thriller","$274,092,705"
Jackass Presents: Bad Grandpa,6.5,15000000.0,Comedy,"$102,003,019"
Ender's Game,6.6,110000000.0,"Action, Adventure, Sci-Fi","$61,737,191"
Thor: The Dark World,6.7,170000000.0,"Action, Adventure, Fantasy","$206,362,140"
The Hunger Games: Catching Fire,7.5,130000000.0,"Action, Adventure, Sci-Fi","$424,668,047"
The Hobbit: The Desolation of Smaug,7.8,225000000.0,"Adventure, Fantasy","$258,387,334"
Lone Survivor,7.2,40000000.0,Short,N/A
Ride Along,6.1,25000000.0,"Action, Comedy, Crime","$134,938,200"
The Lego Movie,7.7,60000000.0,"Animation, Action, Adventure","$257,966,122"
Non-Stop,6.9,50000000.0,"Action, Mystery, Thriller","$92,168,600"
300: Rise of an Empire,6.2,110000000.0,"Action, Drama","$106,580,051"
Divergent,6.6,85000000.0,"Action, Adventure, Mystery","$150,947,895"
Noah,5.8,125000000.0,"Action, Adventure, Drama","$101,200,044"
Captain America: The Winter Soldier,7.7,170000000.0,"Action, Adventure, Sci-Fi","$259,766,572"
The Other Woman,6.0,40000000.0,"Comedy, Romance","$83,911,193"
The Amazing Spider-Man 2,6.6,200000000.0,"Action, Adventure, Sci-Fi","$203,605,622"
Neighbors,6.3,18000000.0,Comedy,"$150,157,400"
Godzilla,6.4,160000000.0,"Action, Adventure, Sci-Fi","$200,676,069"
X-Men: Days of Future Past,7.9,200000000.0,"Action, Adventure, Sci-Fi","$233,921,534"
Maleficent,6.9,180000000.0,"Action, Adventure, Drama","$241,410,378"
The Fault in Our Stars,7.7,12000000.0,"Drama, Romance","$124,872,350"
22 Jump Street,7.0,50000000.0,"Action, Comedy, Crime","$191,719,337"
Think Like a Man Too,5.7,24000000.0,"Comedy, Romance","$65,182,182"
Transformers: Age of Extinction,5.6,210000000.0,"Action, Adventure, Sci-Fi","$245,439,076"
Dawn of the Planet of the Apes,7.6,170000000.0,"Action, Adventure, Drama","$208,545,589"
Lucy,6.4,40000000.0,"Action, Sci-Fi, Thriller","$126,663,600"
Guardians of the Galaxy,8.0,170000000.0,"Action, Adventure, Comedy","$333,718,600"
Teenage Mutant Ninja Turtles,5.8,125000000.0,"Action, Adventure, Comedy","$191,204,754"
No Good Deed,5.6,13200000.0,"Crime, Drama, Horror","$52,543,632"
The Maze Runner,6.8,34000000.0,"Action, Mystery, Sci-Fi","$102,427,862"
The Equalizer,7.2,55000000.0,"Action, Crime, Thriller","$101,530,738"
Gone Girl,8.1,61000000.0,"Drama, Mystery, Thriller","$167,767,189"
Fury,7.6,68000000.0,"Action, Drama, War","$85,817,906"
Ouija,4.5,5000000.0,"Horror, Mystery, Thriller","$50,856,010"
Big Hero 6,7.8,165000000.0,"Animation, Action, Adventure","$222,527,828"
Dumb and Dumber To,5.6,40000000.0,Comedy,"$86,208,010"
The Hunger Games: Mockingjay - Part 1,6.6,125000000.0,"Action, Adventure, Sci-Fi","$337,135,885"
Exodus: Gods and Kings,6.0,140000000.0,"Action, Adventure, Drama","$65,014,513"
The Hobbit: The Battle of the Five Armies,7.4,250000000.0,"Adventure, Fantasy","$255,138,261"
Taken 3,,48000000.0,,
American Sniper,5.7,58800000.0,Short,N/A
The SpongeBob Movie: Sponge Out of Water,6.0,74000000.0,"Animation, Adventure, Comedy","$162,994,032"
Fifty Shades of Grey,4.2,40000000.0,"Drama, Romance, Thriller","$166,167,230"
Focus,6.6,50100000.0,"Comedy, Crime, Drama","$53,862,963"
Chappie,6.8,49000000.0,"Action, Crime, Drama","$31,569,268"
Cinderella,6.9,95000000.0,"Adventure, Drama, Family","$201,151,353"
The Divergent Series: Insurgent,6.2,110000000.0,"Action, Adventure, Sci-Fi","$130,179,072"
Home,6.5,135000000.0,"Animation, Adventure, Comedy","$177,397,510"
Furious 7,7.1,190000000.0,"Action, Crime, Thriller","$353,007,020"
Avengers: Age of Ultron,7.3,250000000.0,"Action, Adventure, Sci-Fi","$459,005,868"
Pitch Perfect 2,6.4,29000000.0,"Comedy, Music","$184,296,230"
Tomorrowland,6.4,190000000.0,"Action, Adventure, Family","$93,436,322"
San Andreas,6.1,110000000.0,"Action, Adventure, Thriller","$155,190,832"
Spy,7.0,65000000.0,"Action, Comedy","$110,825,712"
Jurassic World,6.9,150000000.0,"Action, Adventure, Sci-Fi","$653,406,625"
Minions,6.4,74000000.0,"Animation, Adventure, Comedy","$336,045,770"
Ant-Man,7.2,130000000.0,"Action, Comedy, Sci-Fi","$180,202,163"
Mission: Impossible - Rogue Nation,7.4,150000000.0,"Action, Adventure, Thriller","$195,042,377"
Straight Outta Compton,7.8,28000000.0,"Biography, Drama, History","$161,197,785"
The Perfect Guy,5.6,12000000.0,"Drama, Romance, Thriller","$57,027,435"
Maze Runner: The Scorch Trials,6.3,61000000.0,"Action, Adventure, Sci-Fi","$81,697,192"
Hotel Transylvania 2,6.6,80000000.0,"Animation, Adventure, Comedy","$169,700,110"
The Martian,8.0,108000000.0,"Adventure, Drama, Sci-Fi","$228,433,663"
Goosebumps,6.3,58000000.0,"Adventure, Comedy, Fantasy","$80,080,379"
Spectre,6.8,245000000.0,"Action, Adventure, Thriller","$200,074,609"
The Hunger Games: Mockingjay - Part 2,6.6,160000000.0,"Action, Adventure, Sci-Fi","$281,723,902"
Star Wars: Episode VII - The Force Awakens,7.8,245000000.0,"Action, Adventure, Sci-Fi","$936,662,225"
Ride Along 2,5.9,40000000.0,"Action, Comedy, Crime","$91,221,830"
Kung Fu Panda 3,7.1,145000000.0,"Animation, Action, Adventure","$143,528,619"
